"","dfb.1_","dfb.ggdp","dfb.lint","dffit","cov.r","cook.d","hat"
"44",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"45",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"46",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"47",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"48",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"49",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"50",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"51",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"52",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"53",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"54",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"55",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"56",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"57",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"58",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"59",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"60",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"61",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"62",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"63",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"64",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"65",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"66",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"67",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"68",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"69",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"70",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"71",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"72",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"73",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"74",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"75",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"76",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"77",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"78",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"79",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"80",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"81",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"82",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"83",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"84",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"85",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"86",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"87",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"88",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"89",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"90",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"91",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"92",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"93",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"94",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"95",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"96",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"97",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"98",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"99",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"100",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"101",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"102",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"103",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"104",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"105",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"106",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"107",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"108",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"109",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"110",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"111",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"112",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"113",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"114",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"115",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"116",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"117",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"118",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"119",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"120",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"121",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"122",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"123",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"124",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"125",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"126",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"127",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"128",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"129",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"130",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"131",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"132",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"133",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"134",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"135",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"136",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"137",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"138",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"139",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"140",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"141",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"142",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"143",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"144",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"145",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"146",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"147",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"148",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"149",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"150",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"151",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"152",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"153",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"154",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"155",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"156",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"157",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"158",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"159",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"160",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"161",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"162",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"163",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"164",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"165",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"166",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"167",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"168",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"169",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"170",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"171",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"172",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"173",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"174",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"175",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"176",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"177",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"178",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"179",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"180",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"181",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"182",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"183",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"184",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"185",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"186",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"187",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"188",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"189",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"190",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"191",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"192",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"193",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"194",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"195",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"196",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"197",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"198",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"199",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"200",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"201",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"202",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
